GEO_ID,NAME,Num_HH,Med_Inc_HH
1400000US17031260400,"Census Tract 2604, Cook County, Illinois",414,17667
1400000US17031260500,"Census Tract 2605, Cook County, Illinois",532,21354
1400000US17031260600,"Census Tract 2606, Cook County, Illinois",872,22727
1400000US17031260700,"Census Tract 2607, Cook County, Illinois",601,25813
1400000US17031260800,"Census Tract 2608, Cook County, Illinois",811,26209
1400000US17031260900,"Census Tract 2609, Cook County, Illinois",486,30051
1400000US17031261000,"Census Tract 2610, Cook County, Illinois",842,33646
1400000US17031270500,"Census Tract 2705, Cook County, Illinois",700,20376
1400000US17031271200,"Census Tract 2712, Cook County, Illinois",417,19515
1400000US17031271300,"Census Tract 2713, Cook County, Illinois",386,18538
1400000US17031271400,"Census Tract 2714, Cook County, Illinois",473,24476
1400000US17031271500,"Census Tract 2715, Cook County, Illinois",509,39073
1400000US17031271800,"Census Tract 2718, Cook County, Illinois",126,52679
1400000US17031280100,"Census Tract 2801, Cook County, Illinois",2355,86875
1400000US17031280400,"Census Tract 2804, Cook County, Illinois",323,51406
1400000US17031280800,"Census Tract 2808, Cook County, Illinois",174,18382
1400000US17031280900,"Census Tract 2809, Cook County, Illinois",348,10217
1400000US17031281900,"Census Tract 2819, Cook County, Illinois",2593,80720
1400000US17031282700,"Census Tract 2827, Cook County, Illinois",943,37409
1400000US17031282800,"Census Tract 2828, Cook County, Illinois",739,65368
1400000US17031283100,"Census Tract 2831, Cook County, Illinois",1196,30781
1400000US17031283200,"Census Tract 2832, Cook County, Illinois",529,63036
1400000US17031283800,"Census Tract 2838, Cook County, Illinois",1323,45972
1400000US17031290900,"Census Tract 2909, Cook County, Illinois",1350,24205
1400000US17031291200,"Census Tract 2912, Cook County, Illinois",635,18922
1400000US17031291600,"Census Tract 2916, Cook County, Illinois",356,28571
1400000US17031292200,"Census Tract 2922, Cook County, Illinois",958,24444
1400000US17031292400,"Census Tract 2924, Cook County, Illinois",758,23158
1400000US17031292500,"Census Tract 2925, Cook County, Illinois",1226,32500
1400000US17031300500,"Census Tract 3005, Cook County, Illinois",715,44119
1400000US17031300600,"Census Tract 3006, Cook County, Illinois",796,37239
1400000US17031300700,"Census Tract 3007, Cook County, Illinois",1081,31492
1400000US17031300800,"Census Tract 3008, Cook County, Illinois",1065,31801
1400000US17031300900,"Census Tract 3009, Cook County, Illinois",1010,23567
1400000US17031301100,"Census Tract 3011, Cook County, Illinois",685,32577
1400000US17031301200,"Census Tract 3012, Cook County, Illinois",1134,36518
1400000US17031301600,"Census Tract 3016, Cook County, Illinois",1191,28359
1400000US17031301701,"Census Tract 3017.01, Cook County, Illinois",937,42485
1400000US17031301702,"Census Tract 3017.02, Cook County, Illinois",871,41996
1400000US17031301801,"Census Tract 3018.01, Cook County, Illinois",978,35306
1400000US17031301802,"Census Tract 3018.02, Cook County, Illinois",688,28548
1400000US17031301803,"Census Tract 3018.03, Cook County, Illinois",1091,36307
1400000US17031310200,"Census Tract 3102, Cook County, Illinois",600,57292
1400000US17031310300,"Census Tract 3103, Cook County, Illinois",632,55313
1400000US17031310400,"Census Tract 3104, Cook County, Illinois",526,28232
1400000US17031310500,"Census Tract 3105, Cook County, Illinois",494,19583
1400000US17031310600,"Census Tract 3106, Cook County, Illinois",1977,28410
1400000US17031310700,"Census Tract 3107, Cook County, Illinois",565,18917
1400000US17031310800,"Census Tract 3108, Cook County, Illinois",1421,37446
1400000US17031310900,"Census Tract 3109, Cook County, Illinois",1651,32813
1400000US17031320100,"Census Tract 3201, Cook County, Illinois",4735,97188
1400000US17031320400,"Census Tract 3204, Cook County, Illinois",220,78452
1400000US17031320600,"Census Tract 3206, Cook County, Illinois",2089,76857
1400000US17031330100,"Census Tract 3301, Cook County, Illinois",7981,75227
1400000US17031330200,"Census Tract 3302, Cook County, Illinois",1809,93792
1400000US17031340300,"Census Tract 3403, Cook County, Illinois",696,30000
1400000US17031340400,"Census Tract 3404, Cook County, Illinois",618,45167
1400000US17031340500,"Census Tract 3405, Cook County, Illinois",873,27153
1400000US17031340600,"Census Tract 3406, Cook County, Illinois",403,13194
1400000US17031350100,"Census Tract 3501, Cook County, Illinois",1590,37353
